Total Run, Time Taken, No. of operations, Average Time Taken, Average No Operations
1,0.671795,40961280,,
1,0.702122,39522141,,
1,0.711634,39100468,,
1,0.697738,39454979,,
1,0.706628,38626109,,
5,,,0.697983,39532995
